Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.891444,0.795187
jittering_0.05,jittering,0.05,0.867558,0.807487
jittering_0.1,jittering,0.1,0.789127,0.759002
jittering_0.2,jittering,0.2,0.542424,0.747059
jittering_0.4,jittering,0.4,0.494296,0.747059
missing_0,missing,0,0.891444,0.795187
missing_0.05,missing,0.05,0.813012,0.789483
missing_0.1,missing,0.1,0.819251,0.801070
missing_0.2,missing,0.2,0.855793,0.819251
missing_0.4,missing,0.4,0.861497,0.806952
outlier_0,outlier,0,0.891444,0.795187
outlier_0.05,outlier,0.05,0.560428,0.747415
outlier_0.1,outlier,0.1,0.542602,0.753119
outlier_0.2,outlier,0.2,0.530481,0.747059
outlier_0.4,outlier,0.4,0.518360,0.747059
scaling_0,scaling,0,0.891444,0.795187
scaling_0.05,scaling,0.05,0.867558,0.807487
scaling_0.1,scaling,0.1,0.789127,0.759002
scaling_0.2,scaling,0.2,0.542424,0.747059
scaling_0.4,scaling,0.4,0.494296,0.747059
trend_0,trend,0,0.891444,0.795187
trend_0.05,trend,0.05,0.867558,0.807487
trend_0.1,trend,0.1,0.789127,0.759002
trend_0.2,trend,0.2,0.542424,0.747059
trend_0.4,trend,0.4,0.494296,0.747059
