Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.927807,0.885561
jittering_0.05,jittering,0.05,0.921925,0.879501
jittering_0.1,jittering,0.1,0.927986,0.891622
jittering_0.2,jittering,0.2,0.927986,0.891800
jittering_0.4,jittering,0.4,0.909804,0.891800
missing_0,missing,0,0.927807,0.885561
missing_0.05,missing,0.05,0.927986,0.885561
missing_0.1,missing,0.1,0.891622,0.879679
missing_0.2,missing,0.2,0.921747,0.909626
missing_0.4,missing,0.4,0.873797,0.891622
outlier_0,outlier,0,0.927807,0.885561
outlier_0.05,outlier,0.05,0.813369,0.819786
outlier_0.1,outlier,0.1,0.843850,0.783422
outlier_0.2,outlier,0.2,0.764884,0.753654
outlier_0.4,outlier,0.4,0.716756,0.747059
scaling_0,scaling,0,0.927807,0.885561
scaling_0.05,scaling,0.05,0.921925,0.879501
scaling_0.1,scaling,0.1,0.927986,0.891622
scaling_0.2,scaling,0.2,0.927986,0.891800
scaling_0.4,scaling,0.4,0.909804,0.891800
trend_0,trend,0,0.927807,0.885561
trend_0.05,trend,0.05,0.921925,0.879501
trend_0.1,trend,0.1,0.927986,0.891622
trend_0.2,trend,0.2,0.927986,0.891800
trend_0.4,trend,0.4,0.909804,0.891800
