"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.885383","0.939929"
"jittering_0.05","jittering","0.05","0.897504","0.939929"
"jittering_0.1","jittering","0.1","0.903565","0.945811"
"jittering_0.2","jittering","0.2","0.909447","0.945811"
"jittering_0.4","jittering","0.4","0.915508","0.951872"
"missing_0","missing","0","0.885383","0.939929"
"missing_0.05","missing","0.05","0.903387","0.933868"
"missing_0.1","missing","0.1","0.909447","0.933868"
"missing_0.2","missing","0.2","0.885383","0.945633"
"missing_0.4","missing","0.4","0.915508","0.945811"
"outlier_0","outlier","0","0.885383","0.939929"
"outlier_0.05","outlier","0.05","0.891622","0.927986"
"outlier_0.1","outlier","0.1","0.861319","0.879857"
"outlier_0.2","outlier","0.2","0.801426","0.753119"
"outlier_0.4","outlier","0.4","0.729055","0.747059"
