Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.774699,0.798319
jittering_0.05,jittering,0.05,0.782005,0.836654
jittering_0.1,jittering,0.1,0.783819,0.870423
jittering_0.2,jittering,0.2,0.802013,0.911490
jittering_0.4,jittering,0.4,0.822063,0.912408
missing_0,missing,0,0.774699,0.798319
missing_0.05,missing,0.05,0.707098,0.684271
missing_0.1,missing,0.1,0.675201,0.669668
missing_0.2,missing,0.2,0.704334,0.606729
missing_0.4,missing,0.4,0.625932,0.604902
outlier_0,outlier,0,0.774699,0.798319
outlier_0.05,outlier,0.05,0.715326,0.686077
outlier_0.1,outlier,0.1,0.679738,0.690689
outlier_0.2,outlier,0.2,0.649622,0.739950
outlier_0.4,outlier,0.4,0.626878,0.755455
scaling_0,scaling,0,0.774699,0.798319
scaling_0.05,scaling,0.05,0.782005,0.836654
scaling_0.1,scaling,0.1,0.783819,0.870423
scaling_0.2,scaling,0.2,0.802013,0.911490
scaling_0.4,scaling,0.4,0.822063,0.912408
trend_0,trend,0,0.774699,0.798319
trend_0.05,trend,0.05,0.782005,0.836654
trend_0.1,trend,0.1,0.783819,0.870423
trend_0.2,trend,0.2,0.802013,0.911490
trend_0.4,trend,0.4,0.822063,0.912408
