Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.961665,0.968061
jittering_0.05,jittering,0.05,0.948892,0.964408
jittering_0.1,jittering,0.1,0.935193,0.962582
jittering_0.2,jittering,0.2,0.889606,0.949797
jittering_0.4,jittering,0.4,0.770980,0.887763
missing_0,missing,0,0.961665,0.968061
missing_0.05,missing,0.05,0.943425,0.962586
missing_0.1,missing,0.1,0.938846,0.957107
missing_0.2,missing,0.2,0.910577,0.946164
missing_0.4,missing,0.4,0.847630,0.907829
outlier_0,outlier,0,0.961665,0.968061
outlier_0.05,outlier,0.05,0.951623,0.920610
outlier_0.1,outlier,0.1,0.917870,0.918796
outlier_0.2,outlier,0.2,0.833051,0.918813
outlier_0.4,outlier,0.4,0.687069,0.813869
scaling_0,scaling,0,0.961665,0.968061
scaling_0.05,scaling,0.05,0.948892,0.964408
scaling_0.1,scaling,0.1,0.935193,0.962582
scaling_0.2,scaling,0.2,0.889606,0.949797
scaling_0.4,scaling,0.4,0.770980,0.887763
trend_0,trend,0,0.961665,0.968061
trend_0.05,trend,0.05,0.948892,0.964408
trend_0.1,trend,0.1,0.935193,0.962582
trend_0.2,trend,0.2,0.889606,0.949797
trend_0.4,trend,0.4,0.770980,0.887763
