"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.956202","0.962578"
"jittering_0.05","jittering","0.05","0.950726","0.963495"
"jittering_0.1","jittering","0.1","0.939780","0.954384"
"jittering_0.2","jittering","0.2","0.916957","0.922437"
"jittering_0.4","jittering","0.4","0.739054","0.825724"
"missing_0","missing","0","0.956202","0.962578"
"missing_0.05","missing","0.05","0.945268","0.945230"
"missing_0.1","missing","0.1","0.930639","0.938854"
"missing_0.2","missing","0.2","0.884105","0.885928"
"missing_0.4","missing","0.4","0.800183","0.796538"
"outlier_0","outlier","0","0.956202","0.962578"
"outlier_0.05","outlier","0.05","0.859452","0.939768"
"outlier_0.1","outlier","0.1","0.764628","0.906936"
"outlier_0.2","outlier","0.2","0.653250","0.843068"
"outlier_0.4","outlier","0.4","0.604022","0.771910"
