"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.961673","0.973528"
"jittering_0.05","jittering","0.05","0.958937","0.972619"
"jittering_0.1","jittering","0.1","0.949822","0.971706"
"jittering_0.2","jittering","0.2","0.943429","0.966235"
"jittering_0.4","jittering","0.4","0.805658","0.927920"
"missing_0","missing","0","0.961673","0.973528"
"missing_0.05","missing","0.05","0.950739","0.969880"
"missing_0.1","missing","0.1","0.940693","0.966222"
"missing_0.2","missing","0.2","0.916978","0.965322"
"missing_0.4","missing","0.4","0.841237","0.938875"
"outlier_0","outlier","0","0.961673","0.973528"
"outlier_0.05","outlier","0.05","0.895048","0.968061"
"outlier_0.1","outlier","0.1","0.843981","0.959842"
"outlier_0.2","outlier","0.2","0.714396","0.930635"
"outlier_0.4","outlier","0.4","0.650506","0.881395"
