"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.962590","0.972619"
"jittering_0.05","jittering","0.05","0.962586","0.973533"
"jittering_0.1","jittering","0.1","0.950726","0.969880"
"jittering_0.2","jittering","0.2","0.939784","0.961665"
"jittering_0.4","jittering","0.4","0.801079","0.921528"
"missing_0","missing","0","0.962590","0.972619"
"missing_0.05","missing","0.05","0.951636","0.967140"
"missing_0.1","missing","0.1","0.944338","0.959838"
"missing_0.2","missing","0.2","0.907854","0.955280"
"missing_0.4","missing","0.4","0.846721","0.941590"
"outlier_0","outlier","0","0.962590","0.972619"
"outlier_0.05","outlier","0.05","0.885936","0.959851"
"outlier_0.1","outlier","0.1","0.833960","0.942511"
"outlier_0.2","outlier","0.2","0.676990","0.917866"
"outlier_0.4","outlier","0.4","0.627692","0.833952"
