"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.963483","0.969880"
"jittering_0.05","jittering","0.05","0.961669","0.969880"
"jittering_0.1","jittering","0.1","0.958933","0.967140"
"jittering_0.2","jittering","0.2","0.950739","0.965318"
"jittering_0.4","jittering","0.4","0.801997","0.924259"
"missing_0","missing","0","0.963483","0.969880"
"missing_0.05","missing","0.05","0.954367","0.958020"
"missing_0.1","missing","0.1","0.932470","0.951644"
"missing_0.2","missing","0.2","0.872237","0.933387"
"missing_0.4","missing","0.4","0.795621","0.885944"
"outlier_0","outlier","0","0.963483","0.969880"
"outlier_0.05","outlier","0.05","0.836679","0.778257"
"outlier_0.1","outlier","0.1","0.709826","0.687920"
"outlier_0.2","outlier","0.2","0.560191","0.593018"
"outlier_0.4","outlier","0.4","0.538327","0.511880"
