Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.949805,0.935201
jittering_0.05,jittering,0.05,0.951619,0.937032
jittering_0.1,jittering,0.1,0.940685,0.933367
jittering_0.2,jittering,0.2,0.880465,0.913296
jittering_0.4,jittering,0.4,0.749091,0.835758
missing_0,missing,0,0.949805,0.935201
missing_0.05,missing,0.05,0.919714,0.864944
missing_0.1,missing,0.1,0.912412,0.873155
missing_0.2,missing,0.2,0.866779,0.842163
missing_0.4,missing,0.4,0.786492,0.773732
outlier_0,outlier,0,0.949805,0.935201
outlier_0.05,outlier,0.05,0.824819,0.583935
outlier_0.1,outlier,0.1,0.697053,0.521851
outlier_0.2,outlier,0.2,0.543765,0.546526
outlier_0.4,outlier,0.4,0.541951,0.504583
scaling_0,scaling,0,0.949805,0.935201
scaling_0.05,scaling,0.05,0.951619,0.937032
scaling_0.1,scaling,0.1,0.940685,0.933367
scaling_0.2,scaling,0.2,0.880465,0.913296
scaling_0.4,scaling,0.4,0.749091,0.835758
trend_0,trend,0,0.949805,0.935201
trend_0.05,trend,0.05,0.951619,0.937032
trend_0.1,trend,0.1,0.940685,0.933367
trend_0.2,trend,0.2,0.880465,0.913296
trend_0.4,trend,0.4,0.749091,0.835758
