"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.950714","0.944330"
"jittering_0.05","jittering","0.05","0.952532","0.943416"
"jittering_0.1","jittering","0.1","0.942511","0.945239"
"jittering_0.2","jittering","0.2","0.890502","0.921519"
"jittering_0.4","jittering","0.4","0.760042","0.861299"
"missing_0","missing","0","0.950714","0.944330"
"missing_0.05","missing","0.05","0.930656","0.887767"
"missing_0.1","missing","0.1","0.910581","0.895081"
"missing_0.2","missing","0.2","0.875010","0.879543"
"missing_0.4","missing","0.4","0.787377","0.802931"
"outlier_0","outlier","0","0.950714","0.944330"
"outlier_0.05","outlier","0.05","0.828464","0.612217"
"outlier_0.1","outlier","0.1","0.702540","0.569290"
"outlier_0.2","outlier","0.2","0.545579","0.570220"
"outlier_0.4","outlier","0.4","0.540112","0.510037"
