Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.920594,0.910589
jittering_0.05,jittering,0.05,0.916032,0.894164
jittering_0.1,jittering,0.1,0.891403,0.886849
jittering_0.2,jittering,0.2,0.843043,0.875895
jittering_0.4,jittering,0.4,0.734442,0.807468
missing_0,missing,0,0.920594,0.910589
missing_0.05,missing,0.05,0.887771,0.864948
missing_0.1,missing,0.1,0.845807,0.850332
missing_0.2,missing,0.2,0.809303,0.837555
missing_0.4,missing,0.4,0.734516,0.760926
outlier_0,outlier,0,0.920594,0.910589
outlier_0.05,outlier,0.05,0.773728,0.589419
outlier_0.1,outlier,0.1,0.627709,0.565683
outlier_0.2,outlier,0.2,0.534662,0.522794
outlier_0.4,outlier,0.4,0.503636,0.479917
scaling_0,scaling,0,0.920594,0.910589
scaling_0.05,scaling,0.05,0.916032,0.894164
scaling_0.1,scaling,0.1,0.891403,0.886849
scaling_0.2,scaling,0.2,0.843043,0.875895
scaling_0.4,scaling,0.4,0.734442,0.807468
trend_0,trend,0,0.920594,0.910589
trend_0.05,trend,0.05,0.916032,0.894164
trend_0.1,trend,0.1,0.891403,0.886849
trend_0.2,trend,0.2,0.843043,0.875895
trend_0.4,trend,0.4,0.734442,0.807468
