Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.923333,0.927912
jittering_0.05,jittering,0.05,0.917854,0.917879
jittering_0.1,jittering,0.1,0.895052,0.908746
jittering_0.2,jittering,0.2,0.848526,0.906916
jittering_0.4,jittering,0.4,0.735359,0.840299
missing_0,missing,0,0.923333,0.927912
missing_0.05,missing,0.05,0.893254,0.879527
missing_0.1,missing,0.1,0.854902,0.881362
missing_0.2,missing,0.2,0.817509,0.875928
missing_0.4,missing,0.4,0.751826,0.795604
outlier_0,outlier,0,0.923333,0.927912
outlier_0.05,outlier,0.05,0.774645,0.590332
outlier_0.1,outlier,0.1,0.628638,0.586696
outlier_0.2,outlier,0.2,0.531922,0.541029
outlier_0.4,outlier,0.4,0.510938,0.478090
scaling_0,scaling,0,0.923333,0.927912
scaling_0.05,scaling,0.05,0.917854,0.917879
scaling_0.1,scaling,0.1,0.895052,0.908746
scaling_0.2,scaling,0.2,0.848526,0.906916
scaling_0.4,scaling,0.4,0.735359,0.840299
trend_0,trend,0,0.923333,0.927912
trend_0.05,trend,0.05,0.917854,0.917879
trend_0.1,trend,0.1,0.895052,0.908746
trend_0.2,trend,0.2,0.848526,0.906916
trend_0.4,trend,0.4,0.735359,0.840299
