"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.962574","0.967140"
"jittering_0.05","jittering","0.05","0.960760","0.966227"
"jittering_0.1","jittering","0.1","0.955284","0.963491"
"jittering_0.2","jittering","0.2","0.947086","0.958020"
"jittering_0.4","jittering","0.4","0.797443","0.909660"
"missing_0","missing","0","0.962574","0.967140"
"missing_0.05","missing","0.05","0.940685","0.952553"
"missing_0.1","missing","0.1","0.928821","0.934296"
"missing_0.2","missing","0.2","0.865853","0.922428"
"missing_0.4","missing","0.4","0.737227","0.771893"
"outlier_0","outlier","0","0.962574","0.967140"
"outlier_0.05","outlier","0.05","0.804728","0.751843"
"outlier_0.1","outlier","0.1","0.645015","0.643221"
"outlier_0.2","outlier","0.2","0.551943","0.549265"
"outlier_0.4","outlier","0.4","0.533773","0.520012"
