"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.963483","0.974446"
"jittering_0.05","jittering","0.05","0.961669","0.973528"
"jittering_0.1","jittering","0.1","0.958933","0.972619"
"jittering_0.2","jittering","0.2","0.949826","0.968057"
"jittering_0.4","jittering","0.4","0.802914","0.933412"
"missing_0","missing","0","0.963483","0.974446"
"missing_0.05","missing","0.05","0.953454","0.958007"
"missing_0.1","missing","0.1","0.924259","0.946152"
"missing_0.2","missing","0.2","0.885944","0.929747"
"missing_0.4","missing","0.4","0.776451","0.875915"
"outlier_0","outlier","0","0.963483","0.974446"
"outlier_0.05","outlier","0.05","0.810220","0.902374"
"outlier_0.1","outlier","0.1","0.671507","0.760029"
"outlier_0.2","outlier","0.2","0.553823","0.650506"
"outlier_0.4","outlier","0.4","0.534662","0.585824"
