Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.961673,0.973533
jittering_0.05,jittering,0.05,0.958937,0.973533
jittering_0.1,jittering,0.1,0.949822,0.972619
jittering_0.2,jittering,0.2,0.943429,0.966239
jittering_0.4,jittering,0.4,0.804741,0.924276
missing_0,missing,0,0.961673,0.973533
missing_0.05,missing,0.05,0.956206,0.966227
missing_0.1,missing,0.1,0.947995,0.969880
missing_0.2,missing,0.2,0.918767,0.955284
missing_0.4,missing,0.4,0.854894,0.943421
outlier_0,outlier,0,0.961673,0.973533
outlier_0.05,outlier,0.05,0.903275,0.967148
outlier_0.1,outlier,0.1,0.839398,0.955289
outlier_0.2,outlier,0.2,0.716227,0.948904
outlier_0.4,outlier,0.4,0.634122,0.962586
scaling_0,scaling,0,0.961673,0.973533
scaling_0.05,scaling,0.05,0.958937,0.973533
scaling_0.1,scaling,0.1,0.949822,0.972619
scaling_0.2,scaling,0.2,0.943429,0.966239
scaling_0.4,scaling,0.4,0.804741,0.924276
trend_0,trend,0,0.961673,0.973533
trend_0.05,trend,0.05,0.958937,0.973533
trend_0.1,trend,0.1,0.949822,0.972619
trend_0.2,trend,0.2,0.943429,0.966239
trend_0.4,trend,0.4,0.804741,0.924276
