Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.600000,0.630296
jittering_0.05,jittering,0.05,0.565271,0.644335
jittering_0.1,jittering,0.1,0.614286,0.650985
jittering_0.2,jittering,0.2,0.614286,0.671921
jittering_0.4,jittering,0.4,0.677340,0.664532
missing_0,missing,0,0.600000,0.630296
missing_0.05,missing,0.05,0.600493,0.616256
missing_0.1,missing,0.1,0.558867,0.623399
missing_0.2,missing,0.2,0.594581,0.594828
missing_0.4,missing,0.4,0.510345,0.608374
outlier_0,outlier,0,0.600000,0.630296
outlier_0.05,outlier,0.05,0.607389,0.637192
outlier_0.1,outlier,0.1,0.585961,0.616010
outlier_0.2,outlier,0.2,0.544581,0.608867
outlier_0.4,outlier,0.4,0.453941,0.608128
scaling_0,scaling,0,0.600000,0.630296
scaling_0.05,scaling,0.05,0.565271,0.644335
scaling_0.1,scaling,0.1,0.614286,0.650985
scaling_0.2,scaling,0.2,0.614286,0.671921
scaling_0.4,scaling,0.4,0.677340,0.664532
trend_0,trend,0,0.600000,0.630296
trend_0.05,trend,0.05,0.565271,0.644335
trend_0.1,trend,0.1,0.614286,0.650985
trend_0.2,trend,0.2,0.614286,0.671921
trend_0.4,trend,0.4,0.677340,0.664532
