Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.693103,0.686207
jittering_0.05,jittering,0.05,0.657389,0.699754
jittering_0.1,jittering,0.1,0.692857,0.678571
jittering_0.2,jittering,0.2,0.614778,0.636946
jittering_0.4,jittering,0.4,0.558867,0.650739
missing_0,missing,0,0.693103,0.686207
missing_0.05,missing,0.05,0.656897,0.699754
missing_0.1,missing,0.1,0.664532,0.707143
missing_0.2,missing,0.2,0.635714,0.706897
missing_0.4,missing,0.4,0.523153,0.657882
outlier_0,outlier,0,0.693103,0.686207
outlier_0.05,outlier,0.05,0.664286,0.664778
outlier_0.1,outlier,0.1,0.649754,0.643350
outlier_0.2,outlier,0.2,0.580049,0.657635
outlier_0.4,outlier,0.4,0.391379,0.552217
scaling_0,scaling,0,0.693103,0.686207
scaling_0.05,scaling,0.05,0.657389,0.699754
scaling_0.1,scaling,0.1,0.692857,0.678571
scaling_0.2,scaling,0.2,0.614778,0.636946
scaling_0.4,scaling,0.4,0.558867,0.650739
trend_0,trend,0,0.693103,0.686207
trend_0.05,trend,0.05,0.657389,0.699754
trend_0.1,trend,0.1,0.692857,0.678571
trend_0.2,trend,0.2,0.614778,0.636946
trend_0.4,trend,0.4,0.558867,0.650739
