Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.720690,0.706650
jittering_0.05,jittering,0.05,0.741626,0.706897
jittering_0.1,jittering,0.1,0.747783,0.699754
jittering_0.2,jittering,0.2,0.727094,0.713547
jittering_0.4,jittering,0.4,0.705665,0.705911
missing_0,missing,0,0.720690,0.706650
missing_0.05,missing,0.05,0.713300,0.706650
missing_0.1,missing,0.1,0.734483,0.700000
missing_0.2,missing,0.2,0.706404,0.699507
missing_0.4,missing,0.4,0.720443,0.685714
outlier_0,outlier,0,0.720690,0.706650
outlier_0.05,outlier,0.05,0.685468,0.678818
outlier_0.1,outlier,0.1,0.595320,0.616010
outlier_0.2,outlier,0.2,0.560099,0.594828
outlier_0.4,outlier,0.4,0.454187,0.545320
scaling_0,scaling,0,0.720690,0.706650
scaling_0.05,scaling,0.05,0.741626,0.706897
scaling_0.1,scaling,0.1,0.747783,0.699754
scaling_0.2,scaling,0.2,0.727094,0.713547
scaling_0.4,scaling,0.4,0.705665,0.705911
trend_0,trend,0,0.720690,0.706650
trend_0.05,trend,0.05,0.741626,0.706897
trend_0.1,trend,0.1,0.747783,0.699754
trend_0.2,trend,0.2,0.727094,0.713547
trend_0.4,trend,0.4,0.705665,0.705911
