Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.741379,0.720443
jittering_0.05,jittering,0.05,0.769458,0.727340
jittering_0.1,jittering,0.1,0.769704,0.706404
jittering_0.2,jittering,0.2,0.741379,0.706650
jittering_0.4,jittering,0.4,0.670197,0.706650
missing_0,missing,0,0.741379,0.720443
missing_0.05,missing,0.05,0.727094,0.713547
missing_0.1,missing,0.1,0.706404,0.706404
missing_0.2,missing,0.2,0.698768,0.692611
missing_0.4,missing,0.4,0.656404,0.658128
outlier_0,outlier,0,0.741379,0.720443
outlier_0.05,outlier,0.05,0.622414,0.678571
outlier_0.1,outlier,0.1,0.643596,0.657882
outlier_0.2,outlier,0.2,0.559360,0.622660
outlier_0.4,outlier,0.4,0.502956,0.482020
scaling_0,scaling,0,0.741379,0.720443
scaling_0.05,scaling,0.05,0.769458,0.727340
scaling_0.1,scaling,0.1,0.769704,0.706404
scaling_0.2,scaling,0.2,0.741379,0.706650
scaling_0.4,scaling,0.4,0.670197,0.706650
trend_0,trend,0,0.741379,0.720443
trend_0.05,trend,0.05,0.769458,0.727340
trend_0.1,trend,0.1,0.769704,0.706404
trend_0.2,trend,0.2,0.741379,0.706650
trend_0.4,trend,0.4,0.670197,0.706650
