"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.748768","0.727094"
"jittering_0.05","jittering","0.05","0.763054","0.733990"
"jittering_0.1","jittering","0.1","0.769704","0.713054"
"jittering_0.2","jittering","0.2","0.776847","0.705911"
"jittering_0.4","jittering","0.4","0.677340","0.705911"
"missing_0","missing","0","0.748768","0.727094"
"missing_0.05","missing","0.05","0.728079","0.685222"
"missing_0.1","missing","0.1","0.714039","0.699507"
"missing_0.2","missing","0.2","0.755911","0.699507"
"missing_0.4","missing","0.4","0.678325","0.657882"
"outlier_0","outlier","0","0.748768","0.727094"
"outlier_0.05","outlier","0.05","0.685714","0.678818"
"outlier_0.1","outlier","0.1","0.623399","0.650739"
"outlier_0.2","outlier","0.2","0.607882","0.615764"
"outlier_0.4","outlier","0.4","0.482266","0.531281"
