Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.768966,0.783251
jittering_0.05,jittering,0.05,0.761823,0.783251
jittering_0.1,jittering,0.1,0.761823,0.783498
jittering_0.2,jittering,0.2,0.768719,0.769458
jittering_0.4,jittering,0.4,0.754680,0.769458
missing_0,missing,0,0.768966,0.783251
missing_0.05,missing,0.05,0.748522,0.776355
missing_0.1,missing,0.1,0.804926,0.769458
missing_0.2,missing,0.2,0.755419,0.727833
missing_0.4,missing,0.4,0.629803,0.713547
outlier_0,outlier,0,0.768966,0.783251
outlier_0.05,outlier,0.05,0.516749,0.692365
outlier_0.1,outlier,0.1,0.497783,0.636946
outlier_0.2,outlier,0.2,0.460837,0.504187
outlier_0.4,outlier,0.4,0.349261,0.390887
scaling_0,scaling,0,0.768966,0.783251
scaling_0.05,scaling,0.05,0.761823,0.783251
scaling_0.1,scaling,0.1,0.761823,0.783498
scaling_0.2,scaling,0.2,0.768719,0.769458
scaling_0.4,scaling,0.4,0.754680,0.769458
trend_0,trend,0,0.768966,0.783251
trend_0.05,trend,0.05,0.761823,0.783251
trend_0.1,trend,0.1,0.761823,0.783498
trend_0.2,trend,0.2,0.768719,0.769458
trend_0.4,trend,0.4,0.754680,0.769458
