"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.727094","0.664286"
"jittering_0.05","jittering","0.05","0.768966","0.664286"
"jittering_0.1","jittering","0.1","0.775862","0.678325"
"jittering_0.2","jittering","0.2","0.775862","0.685714"
"jittering_0.4","jittering","0.4","0.748522","0.720197"
"missing_0","missing","0","0.727094","0.664286"
"missing_0.05","missing","0.05","0.712808","0.671675"
"missing_0.1","missing","0.1","0.657635","0.705419"
"missing_0.2","missing","0.2","0.657882","0.713054"
"missing_0.4","missing","0.4","0.671675","0.643350"
"outlier_0","outlier","0","0.727094","0.664286"
"outlier_0.05","outlier","0.05","0.524138","0.672167"
"outlier_0.1","outlier","0.1","0.483990","0.622906"
"outlier_0.2","outlier","0.2","0.377094","0.531773"
"outlier_0.4","outlier","0.4","0.349507","0.411576"
