"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.783005","0.671675"
"jittering_0.05","jittering","0.05","0.796798","0.665025"
"jittering_0.1","jittering","0.1","0.796552","0.665025"
"jittering_0.2","jittering","0.2","0.782759","0.630049"
"jittering_0.4","jittering","0.4","0.768966","0.651232"
"missing_0","missing","0","0.783005","0.671675"
"missing_0.05","missing","0.05","0.734975","0.658128"
"missing_0.1","missing","0.1","0.754187","0.692611"
"missing_0.2","missing","0.2","0.706650","0.636946"
"missing_0.4","missing","0.4","0.727094","0.658128"
"outlier_0","outlier","0","0.783005","0.671675"
"outlier_0.05","outlier","0.05","0.503448","0.630049"
"outlier_0.1","outlier","0.1","0.511823","0.622660"
"outlier_0.2","outlier","0.2","0.392118","0.552956"
"outlier_0.4","outlier","0.4","0.356897","0.432759"
