Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.595074,0.615764
jittering_0.05,jittering,0.05,0.595074,0.615764
jittering_0.1,jittering,0.1,0.552956,0.601724
jittering_0.2,jittering,0.2,0.545813,0.601724
jittering_0.4,jittering,0.4,0.398768,0.531773
missing_0,missing,0,0.595074,0.615764
missing_0.05,missing,0.05,0.516995,0.580049
missing_0.1,missing,0.1,0.616010,0.614532
missing_0.2,missing,0.2,0.545320,0.608128
missing_0.4,missing,0.4,0.461084,0.636700
outlier_0,outlier,0,0.595074,0.615764
outlier_0.05,outlier,0.05,0.244335,0.349261
outlier_0.1,outlier,0.1,0.188424,0.335961
outlier_0.2,outlier,0.2,0.215764,0.293596
outlier_0.4,outlier,0.4,0.203202,0.272414
scaling_0,scaling,0,0.595074,0.615764
scaling_0.05,scaling,0.05,0.595074,0.615764
scaling_0.1,scaling,0.1,0.552956,0.601724
scaling_0.2,scaling,0.2,0.545813,0.601724
scaling_0.4,scaling,0.4,0.398768,0.531773
trend_0,trend,0,0.595074,0.615764
trend_0.05,trend,0.05,0.595074,0.615764
trend_0.1,trend,0.1,0.552956,0.601724
trend_0.2,trend,0.2,0.545813,0.601724
trend_0.4,trend,0.4,0.398768,0.531773
