Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.665025,0.622414
jittering_0.05,jittering,0.05,0.623153,0.622660
jittering_0.1,jittering,0.1,0.616256,0.608621
jittering_0.2,jittering,0.2,0.608621,0.587931
jittering_0.4,jittering,0.4,0.413054,0.538670
missing_0,missing,0,0.665025,0.622414
missing_0.05,missing,0.05,0.630049,0.650000
missing_0.1,missing,0.1,0.616256,0.608621
missing_0.2,missing,0.2,0.573399,0.601478
missing_0.4,missing,0.4,0.544581,0.601478
outlier_0,outlier,0,0.665025,0.622414
outlier_0.05,outlier,0.05,0.307389,0.341626
outlier_0.1,outlier,0.1,0.188177,0.321182
outlier_0.2,outlier,0.2,0.209113,0.328571
outlier_0.4,outlier,0.4,0.188916,0.272414
scaling_0,scaling,0,0.665025,0.622414
scaling_0.05,scaling,0.05,0.623153,0.622660
scaling_0.1,scaling,0.1,0.616256,0.608621
scaling_0.2,scaling,0.2,0.608621,0.587931
scaling_0.4,scaling,0.4,0.413054,0.538670
trend_0,trend,0,0.665025,0.622414
trend_0.05,trend,0.05,0.623153,0.622660
trend_0.1,trend,0.1,0.616256,0.608621
trend_0.2,trend,0.2,0.608621,0.587931
trend_0.4,trend,0.4,0.413054,0.538670
