Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.804926,0.692365
jittering_0.05,jittering,0.05,0.797537,0.685222
jittering_0.1,jittering,0.1,0.811576,0.699261
jittering_0.2,jittering,0.2,0.797291,0.685468
jittering_0.4,jittering,0.4,0.776355,0.720690
missing_0,missing,0,0.804926,0.692365
missing_0.05,missing,0.05,0.734236,0.678571
missing_0.1,missing,0.1,0.734483,0.713547
missing_0.2,missing,0.2,0.719951,0.692365
missing_0.4,missing,0.4,0.483005,0.664532
outlier_0,outlier,0,0.804926,0.692365
outlier_0.05,outlier,0.05,0.495813,0.574384
outlier_0.1,outlier,0.1,0.454926,0.545320
outlier_0.2,outlier,0.2,0.335222,0.468473
outlier_0.4,outlier,0.4,0.315025,0.321429
scaling_0,scaling,0,0.804926,0.692365
scaling_0.05,scaling,0.05,0.797537,0.685222
scaling_0.1,scaling,0.1,0.811576,0.699261
scaling_0.2,scaling,0.2,0.797291,0.685468
scaling_0.4,scaling,0.4,0.776355,0.720690
trend_0,trend,0,0.804926,0.692365
trend_0.05,trend,0.05,0.797537,0.685222
trend_0.1,trend,0.1,0.811576,0.699261
trend_0.2,trend,0.2,0.797291,0.685468
trend_0.4,trend,0.4,0.776355,0.720690
