Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.706404,0.651232
jittering_0.05,jittering,0.05,0.706404,0.644089
jittering_0.1,jittering,0.1,0.706158,0.630296
jittering_0.2,jittering,0.2,0.664039,0.616502
jittering_0.4,jittering,0.4,0.593103,0.602709
missing_0,missing,0,0.706404,0.651232
missing_0.05,missing,0.05,0.706404,0.630296
missing_0.1,missing,0.1,0.706158,0.637192
missing_0.2,missing,0.2,0.643103,0.651232
missing_0.4,missing,0.4,0.420197,0.616010
outlier_0,outlier,0,0.706404,0.651232
outlier_0.05,outlier,0.05,0.601478,0.623645
outlier_0.1,outlier,0.1,0.475369,0.622660
outlier_0.2,outlier,0.2,0.258128,0.503202
outlier_0.4,outlier,0.4,0.202217,0.279557
scaling_0,scaling,0,0.706404,0.651232
scaling_0.05,scaling,0.05,0.706404,0.644089
scaling_0.1,scaling,0.1,0.706158,0.630296
scaling_0.2,scaling,0.2,0.664039,0.616502
scaling_0.4,scaling,0.4,0.593103,0.602709
trend_0,trend,0,0.706404,0.651232
trend_0.05,trend,0.05,0.706404,0.644089
trend_0.1,trend,0.1,0.706158,0.630296
trend_0.2,trend,0.2,0.664039,0.616502
trend_0.4,trend,0.4,0.593103,0.602709
