"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.657882","0.538916"
"jittering_0.05","jittering","0.05","0.650739","0.525123"
"jittering_0.1","jittering","0.1","0.657635","0.525123"
"jittering_0.2","jittering","0.2","0.671429","0.524877"
"jittering_0.4","jittering","0.4","0.615025","0.517734"
"missing_0","missing","0","0.657882","0.538916"
"missing_0.05","missing","0.05","0.623399","0.517980"
"missing_0.1","missing","0.1","0.595074","0.538916"
"missing_0.2","missing","0.2","0.531034","0.511084"
"missing_0.4","missing","0.4","0.426355","0.497044"
"outlier_0","outlier","0","0.657882","0.538916"
"outlier_0.05","outlier","0.05","0.476355","0.412808"
"outlier_0.1","outlier","0.1","0.378325","0.321182"
"outlier_0.2","outlier","0.2","0.252217","0.272414"
"outlier_0.4","outlier","0.4","0.321182","0.265517"
