"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.755419","0.755172"
"jittering_0.05","jittering","0.05","0.769704","0.741133"
"jittering_0.1","jittering","0.1","0.783498","0.748030"
"jittering_0.2","jittering","0.2","0.804187","0.740887"
"jittering_0.4","jittering","0.4","0.775862","0.748030"
"missing_0","missing","0","0.755419","0.755172"
"missing_0.05","missing","0.05","0.783251","0.748030"
"missing_0.1","missing","0.1","0.769212","0.740640"
"missing_0.2","missing","0.2","0.671429","0.713547"
"missing_0.4","missing","0.4","0.670690","0.657882"
"outlier_0","outlier","0","0.755419","0.755172"
"outlier_0.05","outlier","0.05","0.572660","0.580296"
"outlier_0.1","outlier","0.1","0.482266","0.426847"
"outlier_0.2","outlier","0.2","0.433744","0.272660"
"outlier_0.4","outlier","0.4","0.266010","0.265517"
