Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.780952,0.890476
jittering_0.05,jittering,0.05,0.790476,0.909524
jittering_0.1,jittering,0.1,0.790476,0.923810
jittering_0.2,jittering,0.2,0.861905,0.942857
jittering_0.4,jittering,0.4,0.895238,0.980952
missing_0,missing,0,0.780952,0.890476
missing_0.05,missing,0.05,0.823810,0.866667
missing_0.1,missing,0.1,0.738095,0.823810
missing_0.2,missing,0.2,0.766667,0.847619
missing_0.4,missing,0.4,0.747619,0.814286
outlier_0,outlier,0,0.780952,0.890476
outlier_0.05,outlier,0.05,0.795238,0.880952
outlier_0.1,outlier,0.1,0.776190,0.904762
outlier_0.2,outlier,0.2,0.695238,0.871429
outlier_0.4,outlier,0.4,0.604762,0.857143
scaling_0,scaling,0,0.780952,0.890476
scaling_0.05,scaling,0.05,0.790476,0.909524
scaling_0.1,scaling,0.1,0.790476,0.923810
scaling_0.2,scaling,0.2,0.861905,0.942857
scaling_0.4,scaling,0.4,0.895238,0.980952
trend_0,trend,0,0.780952,0.890476
trend_0.05,trend,0.05,0.790476,0.909524
trend_0.1,trend,0.1,0.790476,0.923810
trend_0.2,trend,0.2,0.861905,0.942857
trend_0.4,trend,0.4,0.895238,0.980952
