"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.985714","0.985714"
"jittering_0.05","jittering","0.05","0.985714","0.985714"
"jittering_0.1","jittering","0.1","0.990476","0.985714"
"jittering_0.2","jittering","0.2","0.985714","0.990476"
"jittering_0.4","jittering","0.4","0.900000","0.995238"
"missing_0","missing","0","0.985714","0.985714"
"missing_0.05","missing","0.05","0.985714","0.985714"
"missing_0.1","missing","0.1","0.976190","0.995238"
"missing_0.2","missing","0.2","0.942857","0.995238"
"missing_0.4","missing","0.4","0.880952","0.942857"
"outlier_0","outlier","0","0.985714","0.985714"
"outlier_0.05","outlier","0.05","0.500000","0.795238"
"outlier_0.1","outlier","0.1","0.347619","0.576190"
"outlier_0.2","outlier","0.2","0.295238","0.409524"
"outlier_0.4","outlier","0.4","0.266667","0.357143"
