"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","0.995238"
"jittering_0.05","jittering","0.05","1.000000","0.990476"
"jittering_0.1","jittering","0.1","1.000000","0.995238"
"jittering_0.2","jittering","0.2","0.961905","0.995238"
"jittering_0.4","jittering","0.4","0.861905","0.976190"
"missing_0","missing","0","1.000000","0.995238"
"missing_0.05","missing","0.05","0.914286","0.995238"
"missing_0.1","missing","0.1","0.871429","0.990476"
"missing_0.2","missing","0.2","0.861905","0.938095"
"missing_0.4","missing","0.4","0.857143","0.919048"
"outlier_0","outlier","0","1.000000","0.995238"
"outlier_0.05","outlier","0.05","0.414286","0.709524"
"outlier_0.1","outlier","0.1","0.319048","0.661905"
"outlier_0.2","outlier","0.2","0.338095","0.576190"
"outlier_0.4","outlier","0.4","0.304762","0.457143"
