Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,1.000000
jittering_0.05,jittering,0.05,0.995238,1.000000
jittering_0.1,jittering,0.1,0.857143,0.995238
jittering_0.2,jittering,0.2,0.352381,0.909524
jittering_0.4,jittering,0.4,0.147619,0.480952
missing_0,missing,0,1.000000,1.000000
missing_0.05,missing,0.05,0.442857,0.528571
missing_0.1,missing,0.1,0.390476,0.533333
missing_0.2,missing,0.2,0.452381,0.685714
missing_0.4,missing,0.4,0.485714,0.790476
outlier_0,outlier,0,1.000000,1.000000
outlier_0.05,outlier,0.05,0.166667,0.147619
outlier_0.1,outlier,0.1,0.185714,0.185714
outlier_0.2,outlier,0.2,0.119048,0.100000
outlier_0.4,outlier,0.4,0.138095,0.147619
scaling_0,scaling,0,1.000000,1.000000
scaling_0.05,scaling,0.05,0.995238,1.000000
scaling_0.1,scaling,0.1,0.857143,0.995238
scaling_0.2,scaling,0.2,0.352381,0.909524
scaling_0.4,scaling,0.4,0.147619,0.480952
trend_0,trend,0,1.000000,1.000000
trend_0.05,trend,0.05,0.995238,1.000000
trend_0.1,trend,0.1,0.857143,0.995238
trend_0.2,trend,0.2,0.352381,0.909524
trend_0.4,trend,0.4,0.147619,0.480952
