Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,1.000000
jittering_0.05,jittering,0.05,0.995238,1.000000
jittering_0.1,jittering,0.1,0.909524,1.000000
jittering_0.2,jittering,0.2,0.480952,0.971429
jittering_0.4,jittering,0.4,0.147619,0.752381
missing_0,missing,0,1.000000,1.000000
missing_0.05,missing,0.05,0.495238,0.800000
missing_0.1,missing,0.1,0.495238,0.719048
missing_0.2,missing,0.2,0.623810,0.852381
missing_0.4,missing,0.4,0.680952,0.852381
outlier_0,outlier,0,1.000000,1.000000
outlier_0.05,outlier,0.05,0.176190,0.223810
outlier_0.1,outlier,0.1,0.166667,0.157143
outlier_0.2,outlier,0.2,0.119048,0.147619
outlier_0.4,outlier,0.4,0.114286,0.157143
scaling_0,scaling,0,1.000000,1.000000
scaling_0.05,scaling,0.05,0.995238,1.000000
scaling_0.1,scaling,0.1,0.909524,1.000000
scaling_0.2,scaling,0.2,0.480952,0.971429
scaling_0.4,scaling,0.4,0.147619,0.752381
trend_0,trend,0,1.000000,1.000000
trend_0.05,trend,0.05,0.995238,1.000000
trend_0.1,trend,0.1,0.909524,1.000000
trend_0.2,trend,0.2,0.480952,0.971429
trend_0.4,trend,0.4,0.147619,0.752381
