Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.971429,0.966667
jittering_0.05,jittering,0.05,0.971429,0.966667
jittering_0.1,jittering,0.1,0.976190,0.966667
jittering_0.2,jittering,0.2,0.971429,0.976190
jittering_0.4,jittering,0.4,0.871429,0.966667
missing_0,missing,0,0.971429,0.966667
missing_0.05,missing,0.05,0.976190,0.966667
missing_0.1,missing,0.1,0.952381,0.971429
missing_0.2,missing,0.2,0.919048,0.947619
missing_0.4,missing,0.4,0.795238,0.928571
outlier_0,outlier,0,0.971429,0.966667
outlier_0.05,outlier,0.05,0.595238,0.866667
outlier_0.1,outlier,0.1,0.428571,0.780952
outlier_0.2,outlier,0.2,0.285714,0.538095
outlier_0.4,outlier,0.4,0.219048,0.376190
scaling_0,scaling,0,0.971429,0.966667
scaling_0.05,scaling,0.05,0.971429,0.966667
scaling_0.1,scaling,0.1,0.976190,0.966667
scaling_0.2,scaling,0.2,0.971429,0.976190
scaling_0.4,scaling,0.4,0.871429,0.966667
trend_0,trend,0,0.971429,0.966667
trend_0.05,trend,0.05,0.971429,0.966667
trend_0.1,trend,0.1,0.976190,0.966667
trend_0.2,trend,0.2,0.971429,0.976190
trend_0.4,trend,0.4,0.871429,0.966667
