"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.972697","0.900181"
"jittering_0.05","jittering","0.05","0.983910","0.905032"
"jittering_0.1","jittering","0.1","0.979084","0.921148"
"jittering_0.2","jittering","0.2","0.967806","0.945265"
"jittering_0.4","jittering","0.4","0.905019","0.951677"
"missing_0","missing","0","0.972697","0.900181"
"missing_0.05","missing","0.05","0.963006","0.900194"
"missing_0.1","missing","0.1","0.927574","0.909794"
"missing_0.2","missing","0.2","0.906581","0.856761"
"missing_0.4","missing","0.4","0.760065","0.816477"
"outlier_0","outlier","0","0.972697","0.900181"
"outlier_0.05","outlier","0.05","0.934013","0.898606"
"outlier_0.1","outlier","0.1","0.900219","0.877690"
"outlier_0.2","outlier","0.2","0.801987","0.880903"
"outlier_0.4","outlier","0.4","0.671484","0.893768"
