Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.945277,0.971006
jittering_0.05,jittering,0.05,0.937213,0.987123
jittering_0.1,jittering,0.1,0.935600,0.975858
jittering_0.2,jittering,0.2,0.898516,0.967819
jittering_0.4,jittering,0.4,0.801948,0.921097
missing_0,missing,0,0.945277,0.971006
missing_0.05,missing,0.05,0.929148,0.964555
missing_0.1,missing,0.1,0.921110,0.961355
missing_0.2,missing,0.2,0.893794,0.919497
missing_0.4,missing,0.4,0.779355,0.792297
outlier_0,outlier,0,0.945277,0.971006
outlier_0.05,outlier,0.05,0.956581,0.972658
outlier_0.1,outlier,0.1,0.961381,0.974245
outlier_0.2,outlier,0.2,0.885755,0.937148
outlier_0.4,outlier,0.4,0.652181,0.927561
scaling_0,scaling,0,0.945277,0.971006
scaling_0.05,scaling,0.05,0.937213,0.987123
scaling_0.1,scaling,0.1,0.935600,0.975858
scaling_0.2,scaling,0.2,0.898516,0.967819
scaling_0.4,scaling,0.4,0.801948,0.921097
trend_0,trend,0,0.945277,0.971006
trend_0.05,trend,0.05,0.937213,0.987123
trend_0.1,trend,0.1,0.935600,0.975858
trend_0.2,trend,0.2,0.898516,0.967819
trend_0.4,trend,0.4,0.801948,0.921097
