"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.985535","0.985497"
"jittering_0.05","jittering","0.05","0.980684","0.980671"
"jittering_0.1","jittering","0.1","0.975819","0.979058"
"jittering_0.2","jittering","0.2","0.964529","0.974206"
"jittering_0.4","jittering","0.4","0.932361","0.962955"
"missing_0","missing","0","0.985535","0.985497"
"missing_0.05","missing","0.05","0.972671","0.972658"
"missing_0.1","missing","0.1","0.959742","0.975832"
"missing_0.2","missing","0.2","0.925935","0.956529"
"missing_0.4","missing","0.4","0.847045","0.946865"
"outlier_0","outlier","0","0.985535","0.985497"
"outlier_0.05","outlier","0.05","0.917897","0.975832"
"outlier_0.1","outlier","0.1","0.826103","0.969394"
"outlier_0.2","outlier","0.2","0.716684","0.937174"
"outlier_0.4","outlier","0.4","0.650619","0.924310"
