Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.983923,0.996787
jittering_0.05,jittering,0.05,0.977471,0.998387
jittering_0.1,jittering,0.1,0.977458,0.995161
jittering_0.2,jittering,0.2,0.966168,0.985523
jittering_0.4,jittering,0.4,0.913045,0.966168
missing_0,missing,0,0.983923,0.996787
missing_0.05,missing,0.05,0.975858,0.991961
missing_0.1,missing,0.1,0.971058,0.991948
missing_0.2,missing,0.2,0.961406,0.977471
missing_0.4,missing,0.4,0.882465,0.967832
outlier_0,outlier,0,0.983923,0.996787
outlier_0.05,outlier,0.05,0.919484,0.985523
outlier_0.1,outlier,0.1,0.805161,0.979084
outlier_0.2,outlier,0.2,0.697342,0.956516
outlier_0.4,outlier,0.4,0.650477,0.922710
scaling_0,scaling,0,0.983923,0.996787
scaling_0.05,scaling,0.05,0.977471,0.998387
scaling_0.1,scaling,0.1,0.977458,0.995161
scaling_0.2,scaling,0.2,0.966168,0.985523
scaling_0.4,scaling,0.4,0.913045,0.966168
trend_0,trend,0,0.983923,0.996787
trend_0.05,trend,0.05,0.977471,0.998387
trend_0.1,trend,0.1,0.977458,0.995161
trend_0.2,trend,0.2,0.966168,0.985523
trend_0.4,trend,0.4,0.913045,0.966168
