Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.979097,0.996787
jittering_0.05,jittering,0.05,0.972632,0.993561
jittering_0.1,jittering,0.1,0.975845,0.990348
jittering_0.2,jittering,0.2,0.962955,0.980684
jittering_0.4,jittering,0.4,0.914671,0.962968
missing_0,missing,0,0.979097,0.996787
missing_0.05,missing,0.05,0.967794,0.983910
missing_0.1,missing,0.1,0.969394,0.985497
missing_0.2,missing,0.2,0.951703,0.980684
missing_0.4,missing,0.4,0.872839,0.966194
outlier_0,outlier,0,0.979097,0.996787
outlier_0.05,outlier,0.05,0.896968,0.982297
outlier_0.1,outlier,0.1,0.771290,0.977471
outlier_0.2,outlier,0.2,0.671484,0.946826
outlier_0.4,outlier,0.4,0.621497,0.896942
scaling_0,scaling,0,0.979097,0.996787
scaling_0.05,scaling,0.05,0.972632,0.993561
scaling_0.1,scaling,0.1,0.975845,0.990348
scaling_0.2,scaling,0.2,0.962955,0.980684
scaling_0.4,scaling,0.4,0.914671,0.962968
trend_0,trend,0,0.979097,0.996787
trend_0.05,trend,0.05,0.972632,0.993561
trend_0.1,trend,0.1,0.975845,0.990348
trend_0.2,trend,0.2,0.962955,0.980684
trend_0.4,trend,0.4,0.914671,0.962968
