Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.988748,0.977484
jittering_0.05,jittering,0.05,0.988748,0.974258
jittering_0.1,jittering,0.1,0.985510,0.979071
jittering_0.2,jittering,0.2,0.979058,0.975845
jittering_0.4,jittering,0.4,0.932413,0.962968
missing_0,missing,0,0.988748,0.977484
missing_0.05,missing,0.05,0.975858,0.969406
missing_0.1,missing,0.1,0.980710,0.974245
missing_0.2,missing,0.2,0.946877,0.961381
missing_0.4,missing,0.4,0.853561,0.919484
outlier_0,outlier,0,0.988748,0.977484
outlier_0.05,outlier,0.05,0.740774,0.898516
outlier_0.1,outlier,0.1,0.652194,0.858284
outlier_0.2,outlier,0.2,0.597368,0.739097
outlier_0.4,outlier,0.4,0.516877,0.581303
scaling_0,scaling,0,0.988748,0.977484
scaling_0.05,scaling,0.05,0.988748,0.974258
scaling_0.1,scaling,0.1,0.985510,0.979071
scaling_0.2,scaling,0.2,0.979058,0.975845
scaling_0.4,scaling,0.4,0.932413,0.962968
trend_0,trend,0,0.988748,0.977484
trend_0.05,trend,0.05,0.988748,0.974258
trend_0.1,trend,0.1,0.985510,0.979071
trend_0.2,trend,0.2,0.979058,0.975845
trend_0.4,trend,0.4,0.932413,0.962968
