"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.972671","0.946865"
"jittering_0.05","jittering","0.05","0.972658","0.945239"
"jittering_0.1","jittering","0.1","0.966194","0.937161"
"jittering_0.2","jittering","0.2","0.945252","0.935548"
"jittering_0.4","jittering","0.4","0.888877","0.927484"
"missing_0","missing","0","0.972671","0.946865"
"missing_0.05","missing","0.05","0.958129","0.942013"
"missing_0.1","missing","0.1","0.934013","0.940439"
"missing_0.2","missing","0.2","0.900194","0.922761"
"missing_0.4","missing","0.4","0.851897","0.911458"
"outlier_0","outlier","0","0.972671","0.946865"
"outlier_0.05","outlier","0.05","0.673200","0.779381"
"outlier_0.1","outlier","0.1","0.607084","0.779394"
"outlier_0.2","outlier","0.2","0.584568","0.705355"
"outlier_0.4","outlier","0.4","0.515277","0.576452"
