Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.975871,0.927548
jittering_0.05,jittering,0.05,0.975871,0.932348
jittering_0.1,jittering,0.1,0.966194,0.930735
jittering_0.2,jittering,0.2,0.948465,0.927497
jittering_0.4,jittering,0.4,0.908219,0.932310
missing_0,missing,0,0.975871,0.927548
missing_0.05,missing,0.05,0.962994,0.942026
missing_0.1,missing,0.1,0.937239,0.942026
missing_0.2,missing,0.2,0.917871,0.935548
missing_0.4,missing,0.4,0.884065,0.895316
outlier_0,outlier,0,0.975871,0.927548
outlier_0.05,outlier,0.05,0.663510,0.827677
outlier_0.1,outlier,0.1,0.611923,0.771329
outlier_0.2,outlier,0.2,0.582942,0.737523
outlier_0.4,outlier,0.4,0.545910,0.591019
scaling_0,scaling,0,0.975871,0.927548
scaling_0.05,scaling,0.05,0.975871,0.932348
scaling_0.1,scaling,0.1,0.966194,0.930735
scaling_0.2,scaling,0.2,0.948465,0.927497
scaling_0.4,scaling,0.4,0.908219,0.932310
trend_0,trend,0,0.975871,0.927548
trend_0.05,trend,0.05,0.975871,0.932348
trend_0.1,trend,0.1,0.966194,0.930735
trend_0.2,trend,0.2,0.948465,0.927497
trend_0.4,trend,0.4,0.908219,0.932310
