"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.950103","0.963032"
"jittering_0.05","jittering","0.05","0.950077","0.959794"
"jittering_0.1","jittering","0.1","0.940387","0.966258"
"jittering_0.2","jittering","0.2","0.906606","0.958155"
"jittering_0.4","jittering","0.4","0.772994","0.932400"
"missing_0","missing","0","0.950103","0.963032"
"missing_0.05","missing","0.05","0.906632","0.938865"
"missing_0.1","missing","0.1","0.880877","0.917871"
"missing_0.2","missing","0.2","0.811652","0.876039"
"missing_0.4","missing","0.4","0.750503","0.811626"
"outlier_0","outlier","0","0.950103","0.963032"
"outlier_0.05","outlier","0.05","0.632852","0.726284"
"outlier_0.1","outlier","0.1","0.523394","0.555458"
"outlier_0.2","outlier","0.2","0.536206","0.534594"
"outlier_0.4","outlier","0.4","0.505587","0.533032"
