Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.950116,0.959806
jittering_0.05,jittering,0.05,0.950077,0.958194
jittering_0.1,jittering,0.1,0.946839,0.963032
jittering_0.2,jittering,0.2,0.908206,0.963006
jittering_0.4,jittering,0.4,0.792310,0.937252
missing_0,missing,0,0.950116,0.959806
missing_0.05,missing,0.05,0.908335,0.940490
missing_0.1,missing,0.1,0.843832,0.913148
missing_0.2,missing,0.2,0.808323,0.900181
missing_0.4,missing,0.4,0.785845,0.827639
outlier_0,outlier,0,0.950116,0.959806
outlier_0.05,outlier,0.05,0.623252,0.724684
outlier_0.1,outlier,0.1,0.533058,0.605497
outlier_0.2,outlier,0.2,0.549084,0.549110
outlier_0.4,outlier,0.4,0.510594,0.523368
scaling_0,scaling,0,0.950116,0.959806
scaling_0.05,scaling,0.05,0.950077,0.958194
scaling_0.1,scaling,0.1,0.946839,0.963032
scaling_0.2,scaling,0.2,0.908206,0.963006
scaling_0.4,scaling,0.4,0.792310,0.937252
trend_0,trend,0,0.950116,0.959806
trend_0.05,trend,0.05,0.950077,0.958194
trend_0.1,trend,0.1,0.946839,0.963032
trend_0.2,trend,0.2,0.908206,0.963006
trend_0.4,trend,0.4,0.792310,0.937252
