Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.987123,0.977497
jittering_0.05,jittering,0.05,0.983910,0.975897
jittering_0.1,jittering,0.1,0.988735,0.974284
jittering_0.2,jittering,0.2,0.979058,0.971045
jittering_0.4,jittering,0.4,0.933987,0.950116
missing_0,missing,0,0.987123,0.977497
missing_0.05,missing,0.05,0.974284,0.969432
missing_0.1,missing,0.1,0.953342,0.967819
missing_0.2,missing,0.2,0.937252,0.946877
missing_0.4,missing,0.4,0.832477,0.888890
outlier_0,outlier,0,0.987123,0.977497
outlier_0.05,outlier,0.05,0.706903,0.879187
outlier_0.1,outlier,0.1,0.613652,0.811510
outlier_0.2,outlier,0.2,0.561897,0.676245
outlier_0.4,outlier,0.4,0.547445,0.541006
scaling_0,scaling,0,0.987123,0.977497
scaling_0.05,scaling,0.05,0.983910,0.975897
scaling_0.1,scaling,0.1,0.988735,0.974284
scaling_0.2,scaling,0.2,0.979058,0.971045
scaling_0.4,scaling,0.4,0.933987,0.950116
trend_0,trend,0,0.987123,0.977497
trend_0.05,trend,0.05,0.983910,0.975897
trend_0.1,trend,0.1,0.988735,0.974284
trend_0.2,trend,0.2,0.979058,0.971045
trend_0.4,trend,0.4,0.933987,0.950116
