"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.980684","0.988761"
"jittering_0.05","jittering","0.05","0.983910","0.985523"
"jittering_0.1","jittering","0.1","0.982310","0.983910"
"jittering_0.2","jittering","0.2","0.971032","0.983897"
"jittering_0.4","jittering","0.4","0.901768","0.961368"
"missing_0","missing","0","0.980684","0.988761"
"missing_0.05","missing","0.05","0.980697","0.977484"
"missing_0.1","missing","0.1","0.977484","0.974284"
"missing_0.2","missing","0.2","0.954916","0.971032"
"missing_0.4","missing","0.4","0.840516","0.948439"
"outlier_0","outlier","0","0.980684","0.988761"
"outlier_0.05","outlier","0.05","0.922697","0.975871"
"outlier_0.1","outlier","0.1","0.792232","0.964594"
"outlier_0.2","outlier","0.2","0.657019","0.954929"
"outlier_0.4","outlier","0.4","0.553987","0.916271"
