"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.988723","0.975871"
"jittering_0.05","jittering","0.05","0.985497","0.975871"
"jittering_0.1","jittering","0.1","0.985497","0.975871"
"jittering_0.2","jittering","0.2","0.983897","0.980697"
"jittering_0.4","jittering","0.4","0.937213","0.975845"
"missing_0","missing","0","0.988723","0.975871"
"missing_0.05","missing","0.05","0.980684","0.962981"
"missing_0.1","missing","0.1","0.969432","0.972632"
"missing_0.2","missing","0.2","0.943690","0.938813"
"missing_0.4","missing","0.4","0.832516","0.919484"
"outlier_0","outlier","0","0.988723","0.975871"
"outlier_0.05","outlier","0.05","0.695600","0.877535"
"outlier_0.1","outlier","0.1","0.613523","0.792271"
"outlier_0.2","outlier","0.2","0.558813","0.657058"
"outlier_0.4","outlier","0.4","0.526568","0.573187"
