Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.916667,0.938889
jittering_0.05,jittering,0.05,0.922222,0.988889
jittering_0.1,jittering,0.1,0.805556,0.966667
jittering_0.2,jittering,0.2,0.516667,0.816667
jittering_0.4,jittering,0.4,0.333333,0.644444
missing_0,missing,0,0.916667,0.938889
missing_0.05,missing,0.05,0.922222,0.927778
missing_0.1,missing,0.1,0.900000,0.938889
missing_0.2,missing,0.2,0.883333,0.933333
missing_0.4,missing,0.4,0.744444,0.850000
outlier_0,outlier,0,0.916667,0.938889
outlier_0.05,outlier,0.05,0.933333,0.811111
outlier_0.1,outlier,0.1,0.944444,0.683333
outlier_0.2,outlier,0.2,0.788889,0.738889
outlier_0.4,outlier,0.4,0.588889,0.666667
scaling_0,scaling,0,0.916667,0.938889
scaling_0.05,scaling,0.05,0.922222,0.988889
scaling_0.1,scaling,0.1,0.805556,0.966667
scaling_0.2,scaling,0.2,0.516667,0.816667
scaling_0.4,scaling,0.4,0.333333,0.644444
trend_0,trend,0,0.916667,0.938889
trend_0.05,trend,0.05,0.922222,0.988889
trend_0.1,trend,0.1,0.805556,0.966667
trend_0.2,trend,0.2,0.516667,0.816667
trend_0.4,trend,0.4,0.333333,0.644444
