"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.850000","0.805556"
"jittering_0.05","jittering","0.05","0.900000","0.838889"
"jittering_0.1","jittering","0.1","0.927778","0.922222"
"jittering_0.2","jittering","0.2","0.894444","0.961111"
"jittering_0.4","jittering","0.4","0.594444","0.872222"
"missing_0","missing","0","0.850000","0.805556"
"missing_0.05","missing","0.05","0.844444","0.788889"
"missing_0.1","missing","0.1","0.866667","0.772222"
"missing_0.2","missing","0.2","0.872222","0.777778"
"missing_0.4","missing","0.4","0.805556","0.688889"
"outlier_0","outlier","0","0.850000","0.805556"
"outlier_0.05","outlier","0.05","0.783333","0.788889"
"outlier_0.1","outlier","0.1","0.738889","0.805556"
"outlier_0.2","outlier","0.2","0.600000","0.727778"
"outlier_0.4","outlier","0.4","0.600000","0.666667"
