"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.900000","0.966667"
"jittering_0.05","jittering","0.05","0.933333","0.972222"
"jittering_0.1","jittering","0.1","0.911111","0.966667"
"jittering_0.2","jittering","0.2","0.755556","0.961111"
"jittering_0.4","jittering","0.4","0.511111","0.833333"
"missing_0","missing","0","0.900000","0.966667"
"missing_0.05","missing","0.05","0.872222","0.955556"
"missing_0.1","missing","0.1","0.827778","0.955556"
"missing_0.2","missing","0.2","0.811111","0.961111"
"missing_0.4","missing","0.4","0.777778","0.900000"
"outlier_0","outlier","0","0.900000","0.966667"
"outlier_0.05","outlier","0.05","0.727778","0.950000"
"outlier_0.1","outlier","0.1","0.705556","0.877778"
"outlier_0.2","outlier","0.2","0.488889","0.722222"
"outlier_0.4","outlier","0.4","0.550000","0.694444"
