"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.905556","0.977778"
"jittering_0.05","jittering","0.05","0.933333","0.972222"
"jittering_0.1","jittering","0.1","0.950000","0.972222"
"jittering_0.2","jittering","0.2","0.805556","0.961111"
"jittering_0.4","jittering","0.4","0.544444","0.844444"
"missing_0","missing","0","0.905556","0.977778"
"missing_0.05","missing","0.05","0.905556","0.972222"
"missing_0.1","missing","0.1","0.888889","0.961111"
"missing_0.2","missing","0.2","0.816667","0.955556"
"missing_0.4","missing","0.4","0.783333","0.950000"
"outlier_0","outlier","0","0.905556","0.977778"
"outlier_0.05","outlier","0.05","0.794444","0.933333"
"outlier_0.1","outlier","0.1","0.700000","0.872222"
"outlier_0.2","outlier","0.2","0.527778","0.738889"
"outlier_0.4","outlier","0.4","0.644444","0.705556"
