"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.938889","0.972222"
"jittering_0.05","jittering","0.05","0.933333","0.972222"
"jittering_0.1","jittering","0.1","0.927778","0.961111"
"jittering_0.2","jittering","0.2","0.883333","0.966667"
"jittering_0.4","jittering","0.4","0.544444","0.938889"
"missing_0","missing","0","0.938889","0.972222"
"missing_0.05","missing","0.05","0.905556","0.961111"
"missing_0.1","missing","0.1","0.894444","0.938889"
"missing_0.2","missing","0.2","0.827778","0.938889"
"missing_0.4","missing","0.4","0.722222","0.894444"
"outlier_0","outlier","0","0.938889","0.972222"
"outlier_0.05","outlier","0.05","0.527778","0.727778"
"outlier_0.1","outlier","0.1","0.533333","0.677778"
"outlier_0.2","outlier","0.2","0.383333","0.566667"
"outlier_0.4","outlier","0.4","0.461111","0.611111"
