Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.905556,0.805556
jittering_0.05,jittering,0.05,0.994444,0.861111
jittering_0.1,jittering,0.1,0.994444,0.900000
jittering_0.2,jittering,0.2,0.966667,0.955556
jittering_0.4,jittering,0.4,0.550000,0.800000
missing_0,missing,0,0.905556,0.805556
missing_0.05,missing,0.05,0.933333,0.772222
missing_0.1,missing,0.1,0.850000,0.722222
missing_0.2,missing,0.2,0.816667,0.750000
missing_0.4,missing,0.4,0.772222,0.711111
outlier_0,outlier,0,0.905556,0.805556
outlier_0.05,outlier,0.05,0.527778,0.472222
outlier_0.1,outlier,0.1,0.588889,0.533333
outlier_0.2,outlier,0.2,0.444444,0.450000
outlier_0.4,outlier,0.4,0.422222,0.583333
scaling_0,scaling,0,0.905556,0.805556
scaling_0.05,scaling,0.05,0.994444,0.861111
scaling_0.1,scaling,0.1,0.994444,0.900000
scaling_0.2,scaling,0.2,0.966667,0.955556
scaling_0.4,scaling,0.4,0.550000,0.800000
trend_0,trend,0,0.905556,0.805556
trend_0.05,trend,0.05,0.994444,0.861111
trend_0.1,trend,0.1,0.994444,0.900000
trend_0.2,trend,0.2,0.966667,0.955556
trend_0.4,trend,0.4,0.550000,0.800000
