Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.988889,0.944444
jittering_0.05,jittering,0.05,0.994444,0.922222
jittering_0.1,jittering,0.1,0.994444,0.905556
jittering_0.2,jittering,0.2,0.961111,0.933333
jittering_0.4,jittering,0.4,0.555556,0.900000
missing_0,missing,0,0.988889,0.944444
missing_0.05,missing,0.05,0.988889,0.955556
missing_0.1,missing,0.1,0.983333,0.961111
missing_0.2,missing,0.2,0.922222,0.944444
missing_0.4,missing,0.4,0.933333,0.850000
outlier_0,outlier,0,0.988889,0.944444
outlier_0.05,outlier,0.05,0.555556,0.833333
outlier_0.1,outlier,0.1,0.605556,0.705556
outlier_0.2,outlier,0.2,0.416667,0.577778
outlier_0.4,outlier,0.4,0.483333,0.588889
scaling_0,scaling,0,0.988889,0.944444
scaling_0.05,scaling,0.05,0.994444,0.922222
scaling_0.1,scaling,0.1,0.994444,0.905556
scaling_0.2,scaling,0.2,0.961111,0.933333
scaling_0.4,scaling,0.4,0.555556,0.900000
trend_0,trend,0,0.988889,0.944444
trend_0.05,trend,0.05,0.994444,0.922222
trend_0.1,trend,0.1,0.994444,0.905556
trend_0.2,trend,0.2,0.961111,0.933333
trend_0.4,trend,0.4,0.555556,0.900000
