Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.911111
jittering_0.05,jittering,0.05,1.000000,1.000000
jittering_0.1,jittering,0.1,0.622222,0.994444
jittering_0.2,jittering,0.2,0.144444,0.733333
jittering_0.4,jittering,0.4,0.144444,0.316667
missing_0,missing,0,1.000000,0.911111
missing_0.05,missing,0.05,0.883333,0.844444
missing_0.1,missing,0.1,0.777778,0.755556
missing_0.2,missing,0.2,0.727778,0.783333
missing_0.4,missing,0.4,0.622222,0.844444
outlier_0,outlier,0,1.000000,0.911111
outlier_0.05,outlier,0.05,0.277778,0.355556
outlier_0.1,outlier,0.1,0.277778,0.338889
outlier_0.2,outlier,0.2,0.305556,0.305556
outlier_0.4,outlier,0.4,0.322222,0.350000
scaling_0,scaling,0,1.000000,0.911111
scaling_0.05,scaling,0.05,1.000000,1.000000
scaling_0.1,scaling,0.1,0.622222,0.994444
scaling_0.2,scaling,0.2,0.144444,0.733333
scaling_0.4,scaling,0.4,0.144444,0.316667
trend_0,trend,0,1.000000,0.911111
trend_0.05,trend,0.05,1.000000,1.000000
trend_0.1,trend,0.1,0.622222,0.994444
trend_0.2,trend,0.2,0.144444,0.733333
trend_0.4,trend,0.4,0.144444,0.316667
