"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","1.000000"
"jittering_0.05","jittering","0.05","1.000000","1.000000"
"jittering_0.1","jittering","0.1","0.627778","0.994444"
"jittering_0.2","jittering","0.2","0.144444","0.822222"
"jittering_0.4","jittering","0.4","0.144444","0.372222"
"missing_0","missing","0","1.000000","1.000000"
"missing_0.05","missing","0.05","0.927778","0.988889"
"missing_0.1","missing","0.1","0.766667","0.972222"
"missing_0.2","missing","0.2","0.783333","0.927778"
"missing_0.4","missing","0.4","0.811111","0.972222"
"outlier_0","outlier","0","1.000000","1.000000"
"outlier_0.05","outlier","0.05","0.222222","0.277778"
"outlier_0.1","outlier","0.1","0.333333","0.338889"
"outlier_0.2","outlier","0.2","0.200000","0.255556"
"outlier_0.4","outlier","0.4","0.333333","0.316667"
