"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.900000","0.961111"
"jittering_0.05","jittering","0.05","0.905556","0.961111"
"jittering_0.1","jittering","0.1","0.888889","0.961111"
"jittering_0.2","jittering","0.2","0.716667","0.938889"
"jittering_0.4","jittering","0.4","0.477778","0.772222"
"missing_0","missing","0","0.900000","0.961111"
"missing_0.05","missing","0.05","0.861111","0.966667"
"missing_0.1","missing","0.1","0.872222","0.966667"
"missing_0.2","missing","0.2","0.716667","0.927778"
"missing_0.4","missing","0.4","0.655556","0.833333"
"outlier_0","outlier","0","0.900000","0.961111"
"outlier_0.05","outlier","0.05","0.683333","0.944444"
"outlier_0.1","outlier","0.1","0.572222","0.861111"
"outlier_0.2","outlier","0.2","0.477778","0.750000"
"outlier_0.4","outlier","0.4","0.322222","0.600000"
