"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.933333","0.961111"
"jittering_0.05","jittering","0.05","0.927778","0.961111"
"jittering_0.1","jittering","0.1","0.927778","0.961111"
"jittering_0.2","jittering","0.2","0.850000","0.938889"
"jittering_0.4","jittering","0.4","0.494444","0.794444"
"missing_0","missing","0","0.933333","0.961111"
"missing_0.05","missing","0.05","0.861111","0.966667"
"missing_0.1","missing","0.1","0.805556","0.927778"
"missing_0.2","missing","0.2","0.755556","0.861111"
"missing_0.4","missing","0.4","0.650000","0.688889"
"outlier_0","outlier","0","0.933333","0.961111"
"outlier_0.05","outlier","0.05","0.555556","0.655556"
"outlier_0.1","outlier","0.1","0.483333","0.555556"
"outlier_0.2","outlier","0.2","0.483333","0.583333"
"outlier_0.4","outlier","0.4","0.372222","0.522222"
