"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.966667","0.877778"
"jittering_0.05","jittering","0.05","0.950000","0.894444"
"jittering_0.1","jittering","0.1","0.938889","0.916667"
"jittering_0.2","jittering","0.2","0.850000","0.916667"
"jittering_0.4","jittering","0.4","0.522222","0.827778"
"missing_0","missing","0","0.966667","0.877778"
"missing_0.05","missing","0.05","0.938889","0.888889"
"missing_0.1","missing","0.1","0.883333","0.905556"
"missing_0.2","missing","0.2","0.844444","0.916667"
"missing_0.4","missing","0.4","0.705556","0.855556"
"outlier_0","outlier","0","0.966667","0.877778"
"outlier_0.05","outlier","0.05","0.566667","0.755556"
"outlier_0.1","outlier","0.1","0.477778","0.616667"
"outlier_0.2","outlier","0.2","0.377778","0.555556"
"outlier_0.4","outlier","0.4","0.450000","0.538889"
