"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.333333","0.346667"
"jittering_0.05","jittering","0.05","0.333333","0.246667"
"jittering_0.1","jittering","0.1","0.333333","0.153333"
"jittering_0.2","jittering","0.2","0.333333","0.230000"
"jittering_0.4","jittering","0.4","0.353333","0.573333"
"missing_0","missing","0","0.333333","0.346667"
"missing_0.05","missing","0.05","0.333333","0.303333"
"missing_0.1","missing","0.1","0.333333","0.296667"
"missing_0.2","missing","0.2","0.333333","0.326667"
"missing_0.4","missing","0.4","0.333333","0.290000"
"outlier_0","outlier","0","0.333333","0.346667"
"outlier_0.05","outlier","0.05","0.390000","0.053333"
"outlier_0.1","outlier","0.1","0.326667","0.040000"
"outlier_0.2","outlier","0.2","0.316667","0.053333"
"outlier_0.4","outlier","0.4","0.393333","0.030000"
