"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.946667","0.986667"
"jittering_0.05","jittering","0.05","0.910000","0.976667"
"jittering_0.1","jittering","0.1","0.793333","0.870000"
"jittering_0.2","jittering","0.2","0.576667","0.716667"
"jittering_0.4","jittering","0.4","0.460000","0.543333"
"missing_0","missing","0","0.946667","0.986667"
"missing_0.05","missing","0.05","0.920000","0.976667"
"missing_0.1","missing","0.1","0.873333","0.980000"
"missing_0.2","missing","0.2","0.880000","0.963333"
"missing_0.4","missing","0.4","0.693333","0.876667"
"outlier_0","outlier","0","0.946667","0.986667"
"outlier_0.05","outlier","0.05","0.970000","0.990000"
"outlier_0.1","outlier","0.1","0.933333","0.986667"
"outlier_0.2","outlier","0.2","0.906667","0.970000"
"outlier_0.4","outlier","0.4","0.816667","0.913333"
