"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.990000","1.000000"
"jittering_0.05","jittering","0.05","0.953333","0.990000"
"jittering_0.1","jittering","0.1","0.886667","0.960000"
"jittering_0.2","jittering","0.2","0.683333","0.850000"
"jittering_0.4","jittering","0.4","0.560000","0.636667"
"missing_0","missing","0","0.990000","1.000000"
"missing_0.05","missing","0.05","0.956667","0.970000"
"missing_0.1","missing","0.1","0.930000","0.963333"
"missing_0.2","missing","0.2","0.886667","0.930000"
"missing_0.4","missing","0.4","0.790000","0.886667"
"outlier_0","outlier","0","0.990000","1.000000"
"outlier_0.05","outlier","0.05","0.930000","0.990000"
"outlier_0.1","outlier","0.1","0.890000","0.980000"
"outlier_0.2","outlier","0.2","0.753333","0.946667"
"outlier_0.4","outlier","0.4","0.690000","0.913333"
